epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,39,,,,,,,1.017555832862854,1.0585938692092896,1.557226538658142
0,39,,,,1.078492283821106,1.201672911643982,1.9035701751708984,,,
1,79,,,,,,,0.9581239819526672,1.043945550918579,1.2912486791610718
1,79,,,,1.085172176361084,1.1637654304504395,1.6623207330703735,,,
2,119,,,,,,,1.0950927734375,1.3034608364105225,1.8991127014160156
2,119,,,,0.9193935394287109,0.9927681088447571,1.2579129934310913,,,
3,159,,,,,,,1.0495576858520508,1.2237708568572998,1.6358082294464111
3,159,,,,0.991511344909668,1.0636041164398193,1.4883577823638916,,,
4,199,,,,,,,0.9665101766586304,1.0968431234359741,1.2729811668395996
4,199,,,,0.8970211148262024,0.9755619764328003,1.2048448324203491,,,
5,239,,,,,,,1.0634591579437256,1.2434802055358887,1.6213188171386719
5,239,,,,0.9434677362442017,1.013288140296936,1.2665762901306152,,,
6,279,,,,,,,1.082032561302185,1.3358466625213623,1.9115474224090576
6,279,,,,0.8810736536979675,0.945229172706604,1.2597697973251343,,,
7,319,,,,,,,0.9988020658493042,1.0195053815841675,1.3433740139007568
7,319,,,,0.8048493266105652,0.9120450019836426,1.095265507698059,,,
8,359,,,,,,,1.01901376247406,1.2486851215362549,1.6797716617584229
8,359,,,,1.105871558189392,1.1846071481704712,1.7325782775878906,,,
9,399,,,,,,,1.007106065750122,1.0690561532974243,1.3764601945877075
9,399,,,,0.9255166053771973,1.0415308475494385,1.4641072750091553,,,
10,439,,,,,,,1.0997947454452515,1.345725655555725,1.9804741144180298
10,439,,,,0.9323928952217102,1.0320231914520264,1.3570201396942139,,,
11,479,,,,,,,1.0811913013458252,1.325203537940979,1.8858630657196045
11,479,,,,0.9039728045463562,0.9911776781082153,1.2366961240768433,,,
12,519,,,,,,,1.071298599243164,1.325929045677185,1.8971176147460938
12,519,,,,0.889340877532959,0.9878846406936646,1.2180768251419067,,,
13,559,,,,,,,1.0876142978668213,1.3628767728805542,2.106718063354492
13,559,,,,0.899685263633728,1.0194348096847534,1.3759533166885376,,,
14,599,,,,,,,1.0249683856964111,1.151580572128296,1.3863098621368408
14,599,,,,0.8620790243148804,0.9469016194343567,1.1676335334777832,,,
15,639,,,,,,,1.3939201831817627,1.637696623802185,3.3697268962860107
15,639,,,,0.8534272313117981,0.9490361213684082,1.136199951171875,,,
16,679,,,,,,,1.0821411609649658,1.3999464511871338,2.133882522583008
16,679,,,,0.8657107353210449,0.9527395963668823,1.238085150718689,,,
17,719,,,,,,,1.1212774515151978,1.3940560817718506,2.173330307006836
17,719,,,,0.8334605097770691,0.9242908358573914,1.0892107486724854,,,
18,759,,,,,,,0.9380307197570801,1.1235061883926392,1.3329018354415894
18,759,,,,0.7704974412918091,0.8310083150863647,1.0205858945846558,,,
19,799,,,,,,,1.1967309713363647,1.3939862251281738,2.0916600227355957
19,799,,,,0.8231433629989624,0.8928956985473633,1.0120418071746826,,,
20,800,0.8645327687263489,0.9357354044914246,0.8816442489624023,,,,,,
